IMAGE PATH,JOD,JOD STD,CI LOW,CI HIGH,CI RANGE,QUALITY LEVEL,CLUSTER,TOTAL COMPARISONS,IMAGE,SCENE,ATTRIBUTE,SCENE IDX,CONDITION,SPLIT
Overall\66_Indoor_Scene_0.jpg,-3.720674450398623,0.3974422804020078,-4.4454282028861005,-2.8704734858448298,1.5749547170412708,0,-1.0,143.0,66_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\29_Indoor_Scene_0.jpg,-3.547508336257892,0.5217325300129162,-4.600731540535475,-2.4778772637322,2.1228542768032748,0,-1.0,118.0,29_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\56_Indoor_Scene_0.jpg,-2.742764033416884,0.5789073678862086,-3.9170788346489296,-1.6844191369968478,2.232659697652082,0,-1.0,132.0,56_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\32_Indoor_Scene_0.jpg,-2.2576033153588915,0.4563264152617332,-3.1821483029055138,-1.4245596017562931,1.7575887011492206,0,0.0,133.0,32_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\33_Indoor_Scene_0.jpg,-2.273035538081515,0.6367286349669796,-3.5385845756355563,-1.1319805054837986,2.406604070151758,0,0.0,129.0,33_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\44_Indoor_Scene_0.jpg,-1.841818781252012,0.3929456046249959,-2.584983090068318,-1.0654253294919274,1.5195577605763906,0,2.0,126.0,44_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\31_Indoor_Scene_0.tiff,-1.7475344653642728,0.4425511698123106,-2.598174389527264,-0.8695057354610949,1.728668654066169,0,2.0,127.0,31_Indoor_Scene_0.tiff,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\58_Indoor_Scene_0.jpg,-1.831167361653048,0.4742950549618474,-2.97712049782886,-1.0341757898993822,1.942944707929478,0,2.0,135.0,58_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\49_Indoor_Scene_0.jpg,-1.7616982575888585,0.4637865225816371,-2.7274043577074494,-0.8203066341475408,1.9070977235599087,0,2.0,131.0,49_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\37_Indoor_Scene_0.jpg,-1.6357355544772416,0.6295073741754384,-2.937075154643494,-0.5065426584396865,2.430532496203808,0,1.0,135.0,37_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\63_Indoor_Scene_0.jpg,-1.6344233963276815,0.5773860315428078,-2.801474584318468,-0.5463862422741,2.255088342044368,0,1.0,126.0,63_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\21_Indoor_Scene_0.JPG,-1.4392283676291349,0.4730788459008274,-2.344181313340271,-0.4317612817169036,1.9124200316233675,1,3.0,130.0,21_Indoor_Scene_0.JPG,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\53_Indoor_Scene_0.jpg,-1.394733914803062,0.4303131051878556,-2.245916723190968,-0.506756570094279,1.7391601530966891,1,3.0,125.0,53_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\36_Indoor_Scene_0.jpeg,-1.2670228285523744,0.4001799574903451,-2.051007775030912,-0.4150295308433558,1.635978244187556,1,-1.0,135.0,36_Indoor_Scene_0.jpeg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\62_Indoor_Scene_0.jpg,-1.1499728840205732,0.4737791091861698,-2.002159501343671,-0.1153870103285409,1.8867724910151296,1,5.0,128.0,62_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\23_Indoor_Scene_0.jpg,-1.127461483024922,0.5444397072766824,-2.1432092663351776,0.0480031501300895,2.191212416465268,1,5.0,130.0,23_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\24_Indoor_Scene_0.jpg,-1.0735154708472423,0.4311560584957553,-1.9358398446135967,-0.1585194015118194,1.7773204431017773,1,5.0,122.0,24_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\60_Indoor_Scene_0.jpg,-0.9535447153969916,0.5352154178104253,-2.004842696115447,0.1273626493957989,2.132205345511246,1,-1.0,128.0,60_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\6_Indoor_Scene_0.jpg,-0.808736608637477,0.472526002809218,-1.7989756697060737,0.0051249622215708,1.8041006319276445,1,7.0,133.0,6_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\34_Indoor_Scene_0.jpg,-0.7036282214086105,0.681641648360337,-2.1120762169663747,0.573007947997495,2.68508416496387,1,4.0,147.0,34_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\52_Indoor_Scene_0.jpg,-0.7668149912693238,0.5657447677403002,-1.8727156391113364,0.3080439193841729,2.180759558495509,1,7.0,126.0,52_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\48_Indoor_Scene_0.jpg,-0.7429504659508807,0.4745739960228433,-1.689277773530984,0.161189179436643,1.8504669529676272,1,7.0,123.0,48_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\11_Indoor_Scene_0.JPG,-0.6707584630510962,0.37601304299833,-1.385982530316716,0.0166836804034801,1.402666210720196,1,4.0,127.0,11_Indoor_Scene_0.JPG,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\20_Indoor_Scene_0.jpg,-0.6462351805194956,0.415475530007608,-1.5416724505563977,0.2097220591774802,1.7513945097338777,1,4.0,142.0,20_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\16_Indoor_Scene_0.jpg,-0.5933645845342221,0.7206371480928964,-1.8857604021638965,0.7402924244696497,2.626052826633546,1,4.0,128.0,16_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\19_Indoor_Scene_0.jpg,-0.42335165435508,0.4904590198938508,-1.4033170456304456,0.5394945994626128,1.9428116450930584,1,6.0,145.0,19_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\61_Indoor_Scene_0.jpg,-0.4399683731524847,0.5507949540616902,-1.593444662826951,0.5741662277898326,2.167610890616784,1,6.0,124.0,61_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\26_Indoor_Scene_0.jpg,-0.2239082362732932,0.5958559145710877,-1.3796441246402396,1.007300495230096,2.3869446198703352,2,8.0,136.0,26_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\5_Indoor_Scene_0.jpg,-0.2087370195968529,0.4683010779084424,-1.0184371595878876,0.7445654695416262,1.7630026291295138,2,8.0,135.0,5_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\12_Indoor_Scene_0.jpg,-0.0652276458884207,0.5035562953185603,-0.9147614930986776,1.0149804222161194,1.9297419153147968,2,9.0,128.0,12_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\67_Indoor_Scene_0.jpg,-0.0729186660172598,0.5488308599983613,-1.2202061308898269,0.9538026012796216,2.1740087321694483,2,9.0,125.0,67_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\45_Indoor_Scene_0.jpg,0.2022575607571185,0.7039336086643109,-1.024868121876522,1.507693013153783,2.532561135030305,2,10.0,175.0,45_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\54_Indoor_Scene_0.jpg,0.1128248496699787,0.5577647267756286,-1.0145697148467434,1.1634385614167266,2.17800827626347,2,10.0,142.0,54_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\69_Indoor_Scene_0.jpg,0.1955956897850103,0.5101949533805173,-0.951490142185186,1.06512178586258,2.016611928047766,2,10.0,132.0,69_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\57_Indoor_Scene_0.jpg,0.2808338440046659,0.4501955941648398,-0.615201332138697,1.1897666869136658,1.804968019052363,2,11.0,127.0,57_Indoor_Scene_0.jpg,Indoor_Scene_0,Overall,0,Indoor,Train
Overall\18_Indoor_Scene_0.JPG,0.2784981099433902,0.4724068208087867,-0.7059105147368328,1.2034423920485156,1.9093529067853483,2,11.0,128.0,18_Indoor_Scene_0.JPG,Indoor_Scene_0,Overall,0,Indoor,Train
